ID,Plaintext Name,Horizons Name,Simbad Name,Solar System Flag,RA (hours),DEC,RA (deg),RA (solsys),DEC (solsys)
388,HVC 125+41-208,,HVC 125+41-208,0,12.4,75.6,186,,
389,SSA22a-LAB01,,[GNM2016] SSA22-LAB01 ALMA c,0,22.29058333,0.208889,334.35875,,
390,NGC 6166,,NGC 6166,0,16.4772778,39.551111,247.159167,,
391,NGC 4636,,NGC 4636,0,12.71386113,2.687778,190.707917,,
392,M59,,M59,0,12.70063887,11.646944,190.509583,,
393,NGC 821,,NGC 821,0,2.139194467,10.995,32.087917,,
394,NGC 3115,,NGC 3115,0,10.0872222,-7.718611,151.308333,,
395,NGC 4260,,NGC 4260,0,12.32283333,6.098889,184.8425,,
396,M32,,M32,0,0.711611133,40.865278,10.674167,,
397,NGC 4546 UCD-1,,[NK2011] NGC 4546 UCD1,0,12.59130553,-3.789167,188.869583,,
398,NGC 205,,NGC 205,0,0.672805533,41.685278,10.092083,,
399,Sculptor dSph,,Sculptor dSph,0,1.002611133,-33.708889,15.039167,,
400,UMa II,,UMa II Galaxy,0,8.858333333,63.13,132.875,,
401,NGC 4431,,NGC 4431,0,12.45761113,12.290278,186.864167,,
402,NGC 1277,,NGC 1277,0,3.3309722,41.573333,49.964583,,
403,MRG-M0150,,RG1M0150,0,1.8392222,-10.091667,27.588333,,
404,MRG-M0138,,[NBE2018] MRG-M0138,0,1.634416667,-21.930278,24.51625,,
405,IC 976,,IC 976,0,14.14536113,-1.161667,212.180417,,
406,NGC 404,,NGC 404,0,1.1575278,35.718056,17.362917,,
407,M81,,M81,0,9.925888867,69.065278,148.888333,,
408,M100,,M100,0,12.38191667,15.822222,185.72875,,
409,D563-4,,ESDO 563-04,0,8.918666667,19.751111,133.78,,
410,NGC 891,,NGC 891,0,2.375805533,42.348333,35.637083,,
411,Phoenix dwarf,,Phoenix Dwarf Gal,0,1.85175,-44.444722,27.77625,,
412,NGC 5173,,NGC 5173,0,13.47369447,46.591667,202.105417,,
413,IC 225,,IC 225,0,2.441194467,1.160278,36.617917,,
414,M101,,M101,0,14.0535,54.348889,210.8025,,
415,NGC 300,,NGC 300,0,0.914833333,-37.684167,13.7225,,
416,NGC 55,,NGC 55,0,0.2482222,-39.196667,3.723333,,
417,NGC 4701,,NGC 4701,0,12.81988887,3.388611,192.298333,,
418,SS 16,,2MASX J09470010+2540462,0,9.783361133,25.679444,146.750417,,
419,M99,,M99,0,12.3137778,14.416389,184.706667,,
420,NGC 4631,,NGC 4631,0,12.7022222,32.541389,190.533333,,
421,NGC 6822,,NGC 6822,0,19.74894447,-14.7975,296.234167,,
422,IC 1613,,IC 1613,0,1.0817222,2.133333,16.225833,,
423,NGC 3077,,NGC 3077,0,10.05530553,68.733889,150.829583,,
424,SGAS J143845.1+145407,,SGAS J143845.1+145407,0,14.64586113,14.901944,219.687917,,
425,Sp1149 (A1),,[SEL2009] A1.1,0,11.8264722,22.396111,177.397083,,
426,A68-HLS115,,[SZS2014] A68/HLS115,0,0.619305533,9.151111,9.289583,,
427,HLock-01 (R),,HLock01,0,10.96419447,57.5075,164.462917,,
428,M82,,M82,0,9.9312222,69.679722,148.968333,,
429,Arp 236,,Arp 236,0,1.1297778,-17.506944,16.946667,,
430,HIZOA J0836-43,,HIZOA J0836-43,0,8.611694467,-43.635278,129.175417,,
431,I Zwicky 18,,Mrk 116,0,9.56725,55.240278,143.50875,,
432,POX 186,,POX 186,0,13.43016667,-11.610556,201.4525,,
433,Haro 2,,[H56] 2,0,10.5422222,54.401111,158.133333,,
434,NGC 2366,,NGC 2366,0,7.481083333,69.208611,112.21625,,
435,ID11,,[MSG2014] 11a,0,22.81166667,-44.541111,342.175,,
436,SL2S J02176-0513,,SL2S J021737-051329,0,2.293638867,-5.225,34.404583,,
437,cB 58,,cB 58,0,15.2395278,36.607222,228.592917,,
438,SMM J2135-0102,,Eyelash,0,21.58655553,-1.047778,323.798333,,
439,Minkowski's object,,Minkowski's Object,0,1.4297222,-1.371667,21.445833,,
440,Malin 1,,Malin 1,0,12.6164722,14.330278,189.247083,,
441,VCC 1287,,VCC 1287,0,12.50661113,13.982222,187.599167,,
442,UGC 2162,,UGC 2162,0,2.6735,1.226667,40.1025,,
443,HI 1232+20,,HI 1232+20 System,0,12.53333333,20.416667,188,,
444,Cartwheel,,Cartwheel,0,0.628083333,-33.716389,9.42125,,
445,NGC 4650A,,NGC 4650A,0,12.74694447,-40.714444,191.204167,,
446,Hoag's object,,Hoag Object,0,15.28733333,21.585556,229.31,,
447,M51a/b,,M51,0,13.4979722,47.195278,202.469583,,
448,Antennae,,Antennae,0,12.03144447,-18.877222,180.471667,,
449,Antennae TDG,,[MDL92] TDG,0,12.02380553,-19.011667,180.357083,,
450,3C 75,,3C 75,0,2.961555533,6.024444,44.423333,,
451,ESO 137-001,,ESO 137-001,0,16.22425,-60.764167,243.36375,,
452,IC 3418,,IC 3418,0,12.4955278,11.404722,187.432917,,
453,M51a,,NGC 5194,0,13.4979722,47.195278,202.469583,,
454,NGC 7793,,NGC 7793,0,23.96383333,-32.591111,359.4575,,
455,NGC 4622,,NGC 4622,0,12.71044447,-40.744167,190.656667,,
456,M91,,M91,0,12.59066667,14.496389,188.86,,
457,NGC 1097,,NGC 1097,0,2.7719722,-30.275,41.579583,,
458,M64,,M64,0,12.9454722,21.682778,194.182083,,
459,NGC 1291,,NGC 1291,0,3.2885,-41.108056,49.3275,,
460,NGC 2787,,NGC 2787,0,9.321833333,69.203333,139.8275,,
461,NGC 1365,,NGC 1365,0,3.560138867,-36.140556,53.402083,,
462,NGC 6012,,NGC 6012,0,15.90386113,14.601111,238.557917,,
463,NGC 1433,,NGC 1433,0,3.700444467,-47.221944,55.506667,,
464,NGC 5101,,NGC 5101,0,13.36283333,-27.430556,200.4425,,
465,NGC 3898,,NGC 3898,0,11.82094447,56.084444,177.314167,,
466,UGC 7321,,UGC 7321,0,12.2927778,22.539722,184.391667,,
467,NGC 3923,,NGC 3923,0,11.8505,-28.806111,177.7575,,
468,LEDA 074886,,LEDA 074886,0,3.678666667,-18.645278,55.18,,
469,KK 246,,ESO 461-036,0,20.06594447,-31.681389,300.989167,,
470,ESO 243-49 HLX1,,[FWB2009] HLX-1,0,1.1745278,-46.072778,17.617917,,
471,Sgr A*,,Sgr A*,0,17.76111113,-29.007778,266.416667,,
472,NGC 1052,,NGC 1052,0,2.684666667,-8.255833,40.27,,
473,NGC 4395,,NGC 4395,0,12.43025,33.546944,186.45375,,
474,NGC 4686,,NGC 4686,0,12.7777222,54.534167,191.665833,,
475,NGC 7469,,NGC 7469,0,23.05436113,8.873611,345.815417,,
476,NGC 1068,,NGC 1068,0,2.711333333,0.013333,40.67,,
477,I Zwicky 1,,Mrk 1502,0,0.8930278,12.693333,13.395417,,
478,NGC 2911,,NGC 2911,0,9.562805533,10.1525,143.442083,,
479,Cen A,,Cen A,0,13.42433333,-43.019167,201.365,,
480,Cyg A,,Cyg A,0,19.9912222,40.733889,299.868333,,
481,NGC 1265,,NGC 1265,0,3.304361133,41.857778,49.565417,,
482,3C 403,,3C 403,0,19.87105553,2.506667,298.065833,,
483,3C 286,,3C 286,0,13.5189722,30.509167,202.784583,,
484,PKS 1934-638,,PKS 1934-638,0,19.65694447,-63.712778,294.854167,,
485,3C 273,,3C 273,0,12.48519447,2.0525,187.277917,,
486,Mrk 335,,Mrk 335,0,0.105416667,20.203056,1.58125,,
487,Cloverleaf quasar,,QSO J1415+1129,0,14.26283333,11.495278,213.9425,,
488,PHL 1811,,PHL 1811,0,21.91708333,-9.373333,328.75625,,
489,BL Lac,,BL Lac,0,22.04536113,42.277778,330.680417,,
490,3C 279,,3C 279,0,12.93644447,-5.789444,194.046667,,
491,TXS 0506+056,,TXS 0506+056,0,5.1572222,5.693056,77.358333,,
492,SST24 J143644.2+350627,,CXOXB J143644.2+350626,0,14.6122778,35.1075,219.184167,,
493,WISE 1814+3412,,WISE J181417.29+341224.9,0,18.23813887,34.206944,273.572083,,
494,NGC 4258,,NGC 4258,0,12.316,47.303611,184.74,,
495,NGC 4151,,NGC 4151,0,12.1757222,39.405833,182.635833,,
496,NGC 6240,,NGC 6240,0,16.8830278,2.401111,253.245417,,
497,0402+379,,ICRF J040549.2+380332,0,4.0970278,38.058889,61.455417,,
498,OJ 287,,OJ 287,0,8.913583333,20.108611,133.70375,,
499,Hanny's voorwerp,,Hanny's Voorwerp,0,9.684388867,34.726111,145.265833,,
500,B2 0924+30,,B2 0924+30,0,9.464666667,29.985833,141.97,,
501,Arp 294,,Arp 294,0,11.66166667,31.916667,174.925,,
502,UGCA 319/320,,[TSK2008] 245,0,13.0452778,-17.319444,195.679167,,
503,Stephan's quintet,,Stephan's Quintet,0,22.59930553,33.96,338.989583,,
504,NGC 6482,,NGC 6482,0,17.86355553,23.071944,267.953333,,
505,Fornax cluster,,Fornax Cluster,0,3.641666667,-35.455,54.625,,
506,Virgo cluster,,Virgo Cluster,0,12.44225,12.723333,186.63375,,
507,Coma cluster,,Coma Cluster,0,12.99686113,27.980556,194.952917,,
508,Perseus cluster,,Perseus Cluster,0,3.3297778,41.513056,49.946667,,
509,Bullet cluster,,Bullet Cluster,0,6.974888867,-55.944167,104.623333,,
510,SSA22,,SSA22,0,22.2929722,0.251944,334.394583,,
511,Abell 3667,,Abell 3667,0,20.20936113,-56.840556,303.140417,,
512,Coma C,,Coma C,0,12.98833333,27.783333,194.825,,
513,NGC 1275 minihalo,,NGC 1275,0,3.330055533,41.511667,49.950833,,
514,1253+275,,Coma Relic,0,12.91666667,27.2,193.75,,
515,Leo ring,,Leo Ring,0,10.79633887,12.1864,161.945083,,
516,Laniakea attractor,,Laniakea Supercluster,0,14.53333333,-43.233333,218,,
517,Dipole repeller,,,0,22.41666667,37.25,336.25,,
518,ISS,International Space Station  (-125544),,1,,,,,
519,[GPS],,,1,,,,,
520,[ComSat],,,1,,,,,
521,[AmRadSat],,,1,,,,,
522,[EarthObsSat],,,1,,,,,
523,[WeatherSat],,,1,,,,,
524,HST,Hubble Space Telescope (1990-037B),,1,,,,,
525,Voyager 1,Voyager 1 (-31),,1,,,,,
526,LightSail 2,,,1,,,,,
527,LCS-1,LCS-1 (-101361),,1,,,,,
528,Vanguard I,Vanguard I,,1,,,,,
529,[Booster],,,1,,,,,
530,1963-014G,1963-014G,,1,,,,,
531,1976-103G,1976-103G,,1,,,,,
532,Tesla roadster,SpaceX Roadster (-143205),,1,,,,,
533,Solar antipoint,Solar antipoint,,1,,,,,
534,Earth-Moon L5,EM-L5,,1,,,,,
535,Earth-Sun L4,EM-L4,,1,,,,,
536,Galactic anticenter,,Gal Anticenter,0,5.760333333,28.936111,86.405,,
537,1173 Anchises,1173 Anchises (1930 UB),,1,,,,,
538,(55636) 2002 TX300,55636 (2002 TX300),,1,,,,,
539,Cha 110913-773444,,Cha J110913-773444,0,11.1537778,-77.579167,167.306667,,
540,2019 LF6,(2019 LF6),,1,,,,,
541,2012 VP113,(2012 VP113),,1,,,,,
542,Proteus,Proteus (NVIII),,1,,,,,
543,Neso,Neso (2002N4),,1,,,,,
544,Metis,Metis (516),,1,,,,,
545,1SWASP J140752.03-394415.1,,1SWASP J140752.03-394415.1,0,14.13111113,-39.7375,211.966667,,
546,Mimas,Mimas (601),,1,,,,,
547,Iapetus,Iapetus (SVIII),,1,,,,,
548,Tethys,Tethys (SIII),,1,,,,,
549,Charon,Charon (901),,1,,,,,
550,Miranda,Miranda (705),,1,,,,,
551,Kepler 138,,Kepler 138,0,19.3587778,43.293056,290.381667,,
552,Kepler 37,,Kepler 37,0,18.93730553,44.518056,284.059583,,
553,Kepler 107,,Kepler 107,0,19.80188887,48.208611,297.028333,,
554,82 Eri,,82 Eri,0,3.332138867,-43.069722,49.982083,,
555,KOI 1843.03,,KOI-1843.03,0,19.00086113,40.220833,285.012917,,
556,HAT-P-67,,HAT-P-67,0,17.10738887,44.776944,256.610833,,
557,Kepler 51,,Kepler 51,0,19.76530553,49.937778,296.479583,,
558,KELT 9,,KELT-9,0,20.524,39.938889,307.86,,
559,TrES-2,,TrES-2,0,19.12055553,49.316389,286.808333,,
560,V830 Tau,,V830 Tau,0,4.5527778,24.561944,68.291667,,
561,kappa And,,kap And,0,23.6734722,44.333889,355.102083,,
562,omicron UMa,,omi UMa,0,8.504416667,60.718056,127.56625,,
563,HD 208527,,HD 208527,0,21.94,21.239722,329.1,,
564,GJ 3483 B,,WD 0806-661B,0,8.12075,-66.313611,121.81125,,
565,HD 163269,,HD 163269,0,17.93180553,-12.870278,268.977083,,
566,R136 a1,,RMC 136a,0,5.645361133,-69.102222,84.680417,,
567,EBLM J0555-57 Ab,,EBLM J0555-57,0,5.92575,-57.290556,88.88625,,
568,Feige 34,,Feige 34,0,10.66019447,43.1025,159.902917,,
569,NML Cyg,,NML Cyg,0,20.77375,40.116389,311.60625,,
570,UY Sct,,UY Sct,0,18.46013887,-12.466389,276.902083,,
571,SMSS J0313-6708,,SMSS J031300.36-670839.3,0,3.2167778,-67.144167,48.251667,,
572,14 Her,,14 Her,0,16.17341667,43.8175,242.60125,,
573,SDSS J102915+172927,,SDSS J102915.14+172927.9,0,10.4875278,17.491111,157.312917,,
574,S4711,,,0,17.76111113,-29.007778,266.416667,,
575,S5-HVS1,,HE 2251-5127,0,22.91433333,-51.195556,343.715,,
576,SDSS J222859.93+362359.6,,SDSS J222859.93+362359.6,0,22.48330553,36.4,337.249583,,
577,U Sco,,U Sco,0,16.3752222,-17.878611,245.628333,,
578,LHS 4033,,LHS 4033,0,23.8755278,-2.886667,358.132917,,
579,PSR J2222-0137,,PSR J2222-0137,0,22.36833333,-1.621111,335.525,,
580,RX J0439.8-6809,,RX J0439.8-6809,0,4.6637778,-68.150278,69.956667,,
581,PG 1031+234,,PG 1031+234,0,10.56366667,23.154444,158.455,,
582,WD 0346+246,,[HSH97] WD 0346+246,0,3.779583333,24.934167,56.69375,,
583,LP 400-22,,LP 400-22,0,22.60833333,22.54,339.125,,
584,4U 1538-522,,4U 1538-522,0,15.7065,-52.386111,235.5975,,
585,MSP J0740+6620,,PSR J0740+6620,0,7.679388867,66.342778,115.190833,,
586,PSR J0537-6910,,PSR J0537-6910,0,5.629638867,-69.171389,84.444583,,
587,PSR J2144-3933,,PSR J2144-3933,0,21.73669447,-39.565278,326.050417,,
588,XTE J1739-285,,XTE J1739-285,0,17.665,-28.496389,264.975,,
589,AX J1910.7+0917,,AX J1910.7+0917,0,19.1787778,9.275,287.681667,,
590,IGR J00291+5934,,IGR J00291+5934,0,0.484194467,59.571944,7.262917,,
591,SGR 1900+14,,SGR 1900+14,0,19.1202778,9.326111,286.804167,,
592,NS 1987A,,SN 1987A,0,5.591111133,-69.269722,83.866667,,
593,PSR B1508+55,,PSR B1508+55,0,15.15713887,55.525833,227.357083,,
594,PSR J1748-2446ad,,PSR J1748-2446ad,0,17.80136113,-24.767778,267.020417,,
595,PSR J0250+5854,,PSR J0250+5854,0,2.8382778,58.900278,42.574167,,
596,2MASS J05215658+4359220,,2MASS J05215658+4359220,0,5.3657222,43.989444,80.485833,,
597,HM Cnc,,HM Cnc,0,8.106388867,15.458611,121.595833,,
598,NGC 5907 ULX,,NGC 5907 ULX-1,0,15.2662778,56.302778,228.994167,,
599,TWA 42,,TWA 42,0,11.32569447,-11.629722,169.885417,,
600,Melnick 34,,Cl* NGC 2070 MEL 34,0,5.645638867,-69.101667,84.684583,,
601,PSR J2322-2650,,PSR J2322-2650,0,23.3762778,-26.849444,350.644167,,
602,ZTF J153932.16+502738.8,,ZTF J153932.16+502738.8,0,15.65894447,50.460833,234.884167,,
603,65 UMa,,65 UMa,0,11.91825,46.476944,178.77375,,
604,IRS 13E,,GCIRS 13E,0,17.7610278,-29.008333,266.415417,,
605,NGC 7252 W3,,[WSL93] 3,0,22.3455278,-24.677222,335.182917,,
606,HD 97950,,HD 97950,0,11.2520278,-61.260833,168.780417,,
607,Be 17,,Cl Berkeley 17,0,5.3437222,30.59,80.155833,,
608,NGC 6791,,NGC 6791,0,19.34805553,37.771667,290.220833,,
609,Mayall II,,Mayall II,0,0.54625,39.577778,8.19375,,
610,(GC) 037-B327,,Bol 37,0,0.693055533,41.248611,10.395833,,
611,M85-HCC 1,,[SVR2015] M85-HCC1,0,12.423,18.181667,186.345,,
612,Kim 3,,Kim 3,0,13.3792222,-30.601111,200.688333,,
613,NGC 6522,,NGC 6522,0,18.0594722,-30.033889,270.892083,,
614,ESO 280-SC06,,ESO 280-6,0,18.15166667,-46.423333,272.275,,
615,NGC 6528,,NGC 6528,0,18.08044447,-30.055833,271.206667,,
616,Boomerang nebula,,Boomerang Nebula,0,12.74613887,-54.520278,191.192083,,
617,Sgr B2,,Sgr B2,0,17.789,-28.385278,266.835,,
618,Sgr B2(N) AN01,,Sgr B2 HII K2,0,17.78886113,-28.371667,266.832917,,
619,30 Dor,,30 Dor Nebula,0,5.643333333,-69.086389,84.65,,
620,W49N,,W49N,0,19.17033333,9.103333,287.555,,
621,Segue 2,,Segue 2,0,2.321111133,20.175278,34.816667,,
622,Segue 1,,Segue 1,0,10.11755553,16.073611,151.763333,,
623,IC 1101,,IC 1101,0,15.18225,5.744722,227.73375,,
624,OGC 21,,2MASX J12220526+4518109,0,12.36813887,45.303056,185.522083,,
625,LEDA 088678,,LEDA 88678,0,12.98958333,-4.196111,194.84375,,
626,M59-UCD3,,[SVR2015] M59-UCD3,0,12.70305553,11.644722,190.545833,,
627,SPT 0346-52,,SPT-S J034640-5204.9,0,3.778111133,-52.085,56.671667,,
628,WISE J101326.25+611220.1,,WISE J101326.25+611220.1,0,10.22394447,61.205556,153.359167,,
629,Ant 2,,Antlia II Dwarf Galaxy,0,9.592444467,-36.767222,143.886667,,
630,Ret II,,Reticulum II,0,3.5950278,-54.049167,53.925417,,
631,GN-z11,,[OBI2014] GN-z10-1,0,12.60708333,62.241944,189.10625,,
632,MACS0647-JD,,[CZC2013] MACS0647-JD1,0,6.798805533,70.243333,101.982083,,
633,ZF-COSMOS-20115,,ZFOURGE COSMOS 20115,0,10.00411113,2.378611,150.061667,,
634,AGC 229385,,Coma P,0,12.53619447,20.423333,188.042917,,
635,J0811+4730,,SDSS J081152.12+473026.2,0,8.197805533,47.507222,122.967083,,
636,NGC 2841,,NGC 2841,0,9.367416667,50.976389,140.51125,,
637,IRAS 14070+0525,,[DG2000] 14070+0525,0,14.1585278,5.191944,212.377917,,
638,SS 14,,SDSS J095727.02+083501.7,0,9.9575,8.583889,149.3625,,
639,SS 03,,2MASX J16394598+4609058,0,16.6627778,46.151667,249.941667,,
640,A1689B11,,[BBC2005] Source 11,0,13.19258333,-1.351944,197.88875,,
641,SPT-CLJ2344-4243 arc,,,0,23.74624167,-42.718397,356.193625,,
642,Snake,,[ZRN2012] 1.1,0,12.103,-8.800278,181.545,,
643,RGG 118,,[RGG2013] 118,0,15.38438887,11.7625,230.765833,,
644,Holm 15A,,MCG-02-02-086,0,0.697361133,-9.303056,10.460417,,
645,HS 1946+7658,,HS 1946+7658,0,19.74858333,77.098056,296.22875,,
646,SMSS 2157-36,,2MASS J21572822-3602151,0,21.95783333,-36.0375,329.3675,,
647,WISE 2246-0526,,WISE J224607.55-052634.9,0,22.7687778,-5.443056,341.531667,,
648,M60-UCD1,,M60-UCD1,0,12.72666667,11.534722,190.9,,
649,J1329+3234,,SDSS J132932.41+323417.0,0,13.49233333,32.571389,202.385,,
650,J1342+0928,,ULAS J134208.10+092838.6,0,13.70225,9.477222,205.53375,,
651,CLASH B1938+666,,BWE 1938+6641,0,19.64036113,66.814722,294.605417,,
652,COSMOS 5921+0638,,[FKC2008] COSMOS 5921+0638,0,9.989361133,2.110556,149.840417,,
653,J1420-0545,,NVSS J142023-054532,0,14.33994447,-5.757778,215.099167,,
654,J0804+3607,,FIRST J080431.0+360718,0,8.0752778,36.121667,121.129167,,
655,HCG 54,,HCG 54,0,11.4875,20.578333,172.3125,,
656,Seyfert's sextet,,Seyfert Sextet,0,15.98655553,20.756944,239.798333,,
657,Abell 370,,Abell 370,0,2.6640278,-1.585556,39.960417,,
658,MACS J0717.5+34,,ClG J0717+3745,0,7.2934722,37.756389,109.402083,,
659,Abell 665,,Abell 665,0,8.512555533,65.881944,127.688333,,
660,Phoenix cluster,,SPT-CL J2344-4243,0,23.74469447,-42.698333,356.170417,,
661,CL J1001+0220,,ClG J1001+0220,0,10.01588887,2.336944,150.238333,,
662,A2744z8OD,,[IKO2015] HFF1C-Y5,0,0.24025,-30.382222,3.60375,,
663,Shapley supercluster,,Shapley Supercluster,0,13.1,-33.066667,196.5,,
664,HE 0430-2457,,HE 0430-2457,0,4.551055533,-24.855556,68.265833,,
665,PSR J1911-5958A,,PSR J1911-5958A,0,19.1952222,-59.974167,287.928333,,
666,PSR J1740-5340,,PSR J1740-5340,0,17.67905553,-53.678056,265.185833,,
667,S0-2,,[GKM98] S0-2,0,17.76111113,-29.007778,266.416667,,
668,IRS 16C,,GCIRS 16C,0,17.76113887,-29.007778,266.417083,,
669,G2,,G2 Dust Cloud,0,17.76111113,-29.007778,266.416667,,
670,ASASSN -14jb,,ASASSN -14jb,0,22.38780553,-28.975278,335.817083,,
671,SN 2009ip,,SN 2009ip,0,22.38563887,-28.947778,335.784583,,
672,HVGC-1,,[SRB2011] H70848,0,12.51519447,12.683056,187.727917,,
673,3C 186,,3C 186,0,7.738194467,37.888056,116.072917,,
674,SDSS J113323.97+550415.9,,SDSS J113323.97+550415.9,0,11.55666667,55.071111,173.35,,
675,17P/Holmes,5477 Holmes (1989 UH2),,1,,,,,
676,Uranus,Uranus (799),,1,,,,,
677,HIP 41378,,HIP 41378,0,8.441055533,10.080278,126.615833,,
678,HD 65949,,HD 65949,0,7.96325,-60.609722,119.44875,,
679,Przybylski's star,,HD 101065,0,11.62694447,-46.709722,174.404167,,
680,HD 106038,,HD 106038,0,12.20038887,13.261389,183.005833,,
681,HD 135485,,HD 135485,0,15.26258333,-14.693056,228.93875,,
682,LS IV-14 116,,LS IV-14 116,0,20.96080553,-14.428889,314.412083,,
683,2MASS J13535604+4437076,,2MASS J13535604+4437076,0,13.89891667,44.618889,208.48375,,
684,COM 6266B,,PSR J1701-3006B,0,17.02019447,-30.113611,255.302917,,
685,M67-S1063,,Cl* NGC 2682 SAND 1063,0,8.8537222,11.861111,132.805833,,
686,[SBD2011] 5,,[SBD2011] 5,0,11.25194447,-61.257222,168.779167,,
687,1E 1613-5055,,RCW 103,0,16.2925,-51.033333,244.3875,,
688,DWD HS 2220+2146,,HS 2220+2146,0,22.3837778,22.025,335.756667,,
689,NGC 1277*,,NGC 1277,0,3.3309722,41.573333,49.964583,,
690,Was 49b,,Was 49b,0,12.2382778,29.528611,183.574167,,
691,2MASX J07390433+1804252,,2MASX J07390433+1804252,0,7.651194467,18.073611,114.767917,,
692,J 06587-5558,,[LEH2001] J06587-5558,0,6.978361133,-55.976944,104.675417,,
693,ASASSN -15lh,,ASASSN -15lh,0,22.03761113,-61.659722,330.564167,,
694,CMB cold spot,,the Cold Spot,0,3.216666667,-20.5,48.25,,
695,(10537) 1991 RY16,10537 (1991 RY16),,1,,,,,
696,KIC 8462852,,KIC 8462852,0,20.10430553,44.456944,301.564583,,
697,HD 139139,,HD 139139,0,15.61838887,-19.1425,234.275833,,
698,VVV-WIT-07,,VVV-WIT-07,0,17.4415,-35.682222,261.6225,,
699,ASASSN-V J060000.76-310027.83,,ASASSN-V J060000.76-310027.8,0,6.0002222,-31.007778,90.003333,,
700,WISEA 0615-1247,,WISEA J061543.91-124726.8,0,6.262111133,-12.789444,93.931667,,
701,45 Dra,,45 Dra,0,18.54291667,57.045556,278.14375,,
702,OGLE LMC-CEP-4506,,OGLE LMC-CEP-4506,0,5.8915,-67.899722,88.3725,,
703,EK Dra,,EK Dra,0,14.65005553,64.291667,219.750833,,
704,ASASSN-V J190917.06+182837.36,,ASASSN-V J190917.06+182837.3,0,19.15475,18.476944,287.32125,,
705,ASASSN-V J213939.3-702817.4,,Gaia DR2 6396259296582909440,0,21.66091667,-70.471389,324.91375,,
706,ASASSN V J193622.23+115244.1,,ASASSN-V J193622.23+115244.1,0,19.60616667,11.878889,294.0925,,
707,NGC 3021-CANDIDATE 1,,[RFG2015] NGC3021 CANDIDATE1,0,9.8487222,33.553889,147.730833,,
708,BW Vul,,BW Vul,0,20.9062222,28.521944,313.593333,,
709,BD +31 1048,,BD +31 1048,0,5.676638867,31.358333,85.149583,,
710,AQ CVn,,AQ CVn,0,12.72825,32.357778,190.92375,,
711,bet Cam,,bet Cam,0,5.0569722,60.442222,75.854583,,
712,V654 Her,,V654 Her,0,16.96138887,35.269722,254.420833,,
713,PTF 14jg,,PTF 14jg,0,2.6750278,60.879444,40.125417,,
714,ASASSN-19lb,,,0,11.6637222,-70.675278,174.955833,,
715,ASASSN-20lj,,,0,16.77075,17.005,251.56125,,
716,YZ CMi,,YZ CMi,0,7.7445,3.5525,116.1675,,
717,Landstreet's star,,HD 37776,0,5.682333333,-1.507222,85.235,,
718,GRB 060614,,GRB 060614,0,21.39225,-53.026667,320.88375,,
719,GRB 060505,,GRB 060505,0,22.11761113,-27.814444,331.764167,,
720,PSR B0919+06,,PSR B0919+06,0,9.370555533,6.639722,140.558333,,
721,DDE 168,,Gaia DR2 6084621829711973504,0,13.08738887,-49.316389,196.310833,,
722,UMi dSph,,UMi dSph,0,15.15313887,67.214444,227.297083,,
723,NGC 247,,NGC 247,0,0.7857222,-20.760278,11.785833,,
724,Leoncino dwarf,,Leoncino Dwarf Galaxy,0,9.725666667,33.449444,145.885,,
725,Spikey,,KIC 11606854,0,19.31266667,49.632222,289.69,,
726,ZTF19abanrhr,,SDSS J124942.30+344928.9,0,12.82841667,34.824722,192.42625,,
727,GSN 069,,GSN 069,0,1.319083333,-34.191944,19.78625,,
728,MCG+00-09-070,,MCG+00-09-070,0,3.369083333,0.836389,50.53625,,
729,3C 141,,3C 141,0,5.445166667,32.832778,81.6775,,
730,3C 125,,3C 125,0,4.771611133,39.750833,71.574167,,
731,3C 431,,3C 431,0,21.31458333,49.616389,319.71875,,
732,PMN J1751-2524,,PMN J1751-2524,0,17.86425,-25.4,267.96375,,
733,FRB 121102,,FRB 121102,0,5.536,33.086944,83.04,,
734,ORC 2,,,0,20.97855553,-57.615833,314.678333,,
735,Galactic center radio arc,,Gal Center Radio Arc,0,17.77136113,-28.814444,266.570417,,
736,3FGL J1539.2-3324,,3FGL J1539.2-3324,0,15.6532222,-33.368333,234.798333,,
737,3FGL J1231.6-5113,,3FGL J1231.6-5113,0,12.52680553,-51.221111,187.902083,,
738,TeV J2032+4130,,TeV J2032+4130,0,20.535,41.566667,308.025,,
739,HESS J1745-303,,HESS J1745-303,0,17.75313887,-30.198889,266.297083,,
740,LWAT 171018,,LWAT 171018,0,3.066666667,2,46,,
741,ILT J225347+862146,,ILT J225347+862146,0,22.89641667,86.362778,343.44625,,
742,TGSSADR J183304.4-384046,,TGSSADR J183304.4-384046,0,18.55125,-38.679444,278.26875,,
743,J103916.2+585124,,[JHK2012] J103916.2+585124,0,10.6545,58.856667,159.8175,,
744,WJN J1443+3439,,WJN J1443+3439,0,14.7227778,34.65,220.841667,,
745,43.78+59.3,,[FMB2008] 43.78+59.3,0,9.93125,69.679167,148.96875,,
746,FIRST J141918.9+394036,,FIRST J141918.9+394036,0,14.32191667,39.676667,214.82875,,
747,RT 19920826,,[OFB2011] J213622.04+415920.3,0,21.60611113,41.988889,324.091667,,
748,GCRT J1745-3009,,GCRT J1745-3009,0,17.75138887,-30.165,266.270833,,
749,FRB 190523,,FRB 190523,0,13.80433333,72.469722,207.065,,
750,FRB 180916.J0158+65,,FRB 180916.J0158+65,0,1.966888867,65.716667,29.503333,,
